JUNC,SURF,LITE,VEH1TYPE,VEH2TYPE,Hour,VEH1AGE,VEH2AGE,VEH1RESTRAINT,VEH2RESTRAINT,VEH1TESTRESULT,VEH2TESTRESULT,StateFunctionalClassCode,NumofGroupofFirstCollisionType,VEH1AIRBAG,VEH2AIRBAG,VEH1CCCODE1,VEH2CCCODE1,Injury
1,1,1,2,1,13,49,61,4,4,0,0,U5,9,1,1,51,52,0
1,1,1,1,1,18,60,25,4,4,0,0,U5,9,1,1,51,52,1
4,4,1,2,0,7,42,0,3,0,0,0,U1,2,4,0,4,0,0
4,4,1,2,0,8,52,0,0,0,0,0,R1,2,0,0,17,0,0
4,2,1,2,0,11,67,0,2,0,0,0,R2,2,0,0,16,0,1
4,2,1,2,0,17,47,0,4,0,0,0,U5,6,1,0,4,0,0
1,1,1,2,1,8,58,32,4,4,0,0,R1,9,1,1,7,52,0
4,1,1,1,6,17,36,41,4,4,0,0,U5,11,1,1,5,18,0
2,1,1,2,2,10,53,59,4,4,0,0,U2,9,0,1,7,52,0
4,1,9,1,0,5,50,0,0,0,0,0,R5,2,4,0,51,0,2
4,1,1,1,1,10,26,33,4,4,0,0,R5,11,1,1,5,52,0
4,1,1,1,2,14,19,31,4,4,0,0,R5,11,1,1,5,52,0
5,1,5,1,0,1,29,0,1,0,0,0,U1,2,1,0,3,0,0
4,1,1,2,4,5,41,33,2,4,0,0,R5,9,0,1,7,18,3
4,2,6,1,0,4,53,0,4,0,0,0,R2,3,1,0,18,0,0
1,2,5,1,0,0,53,0,1,0,0,0,R3,2,0,0,1,0,3
4,1,1,2,0,11,69,0,4,0,0,0,R3,2,1,0,1,0,2
3,1,1,2,1,8,21,22,4,4,0,0,R2,10,4,1,7,18,2
1,2,3,1,2,16,47,30,4,4,0,0,R2,1,1,1,18,5,1
5,2,1,1,0,8,50,0,4,0,0,0,R2,2,1,0,4,0,0
1,1,1,2,1,14,54,36,4,4,0,0,U1,9,1,1,7,18,0
1,2,1,2,1,15,18,40,4,4,0,0,U1,9,0,1,7,18,0
4,1,4,1,2,2,21,30,4,4,0.18,0.08,U5,9,0,0,17,17,0
3,2,1,1,1,7,34,18,4,4,0,0,U1,9,1,1,16,18,0
4,1,1,1,1,16,51,73,4,4,0,0,U5,9,1,1,0,18,0
4,1,1,0,1,20,0,24,0,4,0,0,U5,11,0,4,17,52,0
1,1,1,2,1,18,61,40,4,4,0,0,U5,9,1,1,7,52,1
4,1,1,6,1,15,39,26,4,4,0,0,U5,9,1,1,7,52,0
4,1,1,2,1,9,40,60,4,4,0,0,U5,9,4,1,7,52,0
4,1,2,1,0,7,79,0,4,0,0,0,U5,2,1,0,4,0,1
4,1,1,1,2,15,23,62,4,4,0,0,U5,9,1,1,5,52,0
4,2,1,2,2,10,37,46,4,4,0,0,U5,9,1,1,7,52,0
4,1,4,2,1,6,44,33,4,4,0,0,U5,11,1,1,23,52,0
4,2,1,1,2,12,84,54,4,4,0,0,U1,9,1,1,4,52,0
4,1,1,2,2,8,21,51,4,4,0,0,U5,9,1,1,4,52,0
4,2,6,1,1,7,23,38,4,4,0,0,U5,9,1,1,4,52,1
4,2,1,1,1,11,27,25,4,4,0,0,U5,10,1,1,4,52,0
1,1,1,2,1,15,59,36,4,4,0,0,U1,4,1,4,5,5,1
4,2,1,2,0,8,21,0,4,0,0,0,U5,2,1,0,4,0,0
4,2,1,2,1,10,20,25,4,4,0,0,U1,9,1,1,4,52,1
4,2,1,1,0,10,51,0,4,0,0,0,U5,2,4,0,4,0,0
4,1,1,1,1,8,33,42,4,4,0,0,U5,9,1,1,7,52,0
5,1,1,1,0,9,32,0,4,0,0,0,U5,2,1,0,23,0,0
4,1,1,2,1,8,45,52,4,4,0,0,U5,9,4,1,7,52,0
4,2,1,1,1,9,32,50,4,4,0,0,U5,9,1,1,4,52,1
4,2,1,2,3,11,23,38,4,4,0,0,U1,11,1,1,5,0,0
4,1,2,2,1,7,16,56,4,4,0,0,U5,9,1,1,4,18,0
1,2,6,1,1,21,17,36,0,0,0,0,U1,1,1,1,5,18,0
1,1,4,1,1,22,30,25,0,0,0,0,U5,5,0,0,5,18,0
5,1,1,1,2,12,30,51,4,4,0,0,U2,9,1,1,7,18,1
6,2,4,1,0,17,61,38,4,0,0,0,U1,8,1,0,18,17,2
3,2,1,3,2,9,26,43,4,4,0,0,U1,1,1,1,7,23,1
4,1,6,1,0,20,68,0,4,0,0,0,R1,3,1,0,18,0,0
3,2,1,2,1,13,17,41,4,0,0,0,R1,9,1,0,7,18,0
4,3,1,2,1,7,65,53,4,4,0,0,R1,5,1,1,6,18,0
1,1,1,2,1,15,53,22,4,4,0,0,R1,9,0,1,7,18,1
1,1,4,1,1,6,58,36,4,4,0,0,U1,1,1,1,52,52,0
1,2,1,1,1,9,46,52,4,4,0,0,U1,1,1,1,23,52,1
4,2,6,1,1,3,48,60,0,0,0,0,R5,11,1,1,3,18,0
4,1,1,2,2,12,25,67,4,4,0,0,U2,9,1,1,7,17,1
1,2,1,2,2,16,35,38,4,4,0,0,U1,9,1,1,7,18,0
4,1,4,2,2,19,53,40,2,4,0,0,U1,9,1,1,17,18,0
1,1,4,2,2,19,17,38,4,4,0,0,U1,4,1,1,5,18,0
4,1,1,2,0,15,81,0,4,0,0,0,U1,3,4,0,14,0,2
4,1,4,2,0,18,20,0,1,0,0,0,U1,6,0,0,4,0,3
4,1,4,2,0,23,16,0,0,0,0,0,U1,2,1,0,52,0,0
4,1,1,1,1,10,45,26,4,4,0,0,U1,10,1,1,17,18,0
4,1,1,2,1,13,59,57,4,4,0,0,U5,9,1,1,7,17,1
4,1,1,1,1,14,87,54,4,4,0,0,U5,9,1,1,4,18,1
4,4,1,1,0,8,22,0,0,0,0,0,U5,2,1,0,17,0,0
4,4,1,1,0,11,24,0,3,0,0,0,R5,2,1,0,48,0,0
4,1,1,2,2,14,52,45,4,4,0,0,U1,9,1,1,7,18,0
4,3,6,1,0,20,41,0,4,0,0,0,R5,2,1,0,4,0,0
1,2,5,1,0,2,0,0,0,0,0,0,U5,2,5,0,4,0,0
4,2,6,1,0,22,24,0,4,0,0,0,R5,3,1,0,18,0,0
1,1,1,6,1,10,59,59,4,4,0,0,U1,11,1,1,10,18,0
5,1,1,1,1,14,23,43,4,4,0,0,R1,9,1,1,43,18,0
1,2,1,2,1,10,72,23,4,4,0,0,U5,9,1,1,7,18,0
5,2,1,1,1,8,79,29,4,4,0,0,U5,11,1,1,5,18,0
1,1,1,2,2,14,21,43,4,4,0,0,U1,9,1,1,7,18,0
1,1,1,2,1,13,28,18,4,2,0,0,U2,9,1,0,23,18,0
4,3,1,1,0,14,18,0,4,0,0,0,R3,2,1,0,17,0,0
4,1,2,1,1,6,19,65,4,4,0,0,R5,9,4,1,7,18,0
1,1,3,1,1,17,52,20,4,4,0,0,U1,4,1,1,5,18,0
5,1,1,1,2,15,18,37,4,4,0,0,U1,9,1,1,4,18,1
1,1,1,1,2,8,20,55,4,4,0,0,U1,9,1,1,4,18,0
1,1,1,1,10,12,34,49,4,1,0,0,U1,9,1,0,7,18,0
1,1,1,2,1,17,46,52,4,4,0,0,U1,9,1,1,24,18,0
5,2,3,2,1,17,44,35,4,4,0,0,U1,11,1,1,5,18,0
1,2,1,2,2,11,78,66,4,4,0,0,U1,9,1,1,4,18,1
3,1,1,2,1,16,34,57,4,4,0,0,U1,4,1,1,5,18,0
5,2,1,1,1,17,23,44,4,4,0,0,U1,9,1,1,4,18,0
4,1,1,0,2,15,0,23,0,4,0,0,U1,11,0,1,17,18,0
3,2,1,1,1,16,53,69,4,4,0,0,U2,1,1,1,5,18,1
1,1,1,2,2,18,44,30,4,4,0,0,U1,10,1,1,24,18,0
1,1,1,1,6,16,65,53,4,4,0,0,U1,10,1,0,5,18,0
1,2,1,1,1,9,80,61,4,4,0,0,U1,4,1,0,5,18,1
3,1,1,2,1,9,53,33,4,4,0,0,U1,7,1,1,16,18,0
2,2,1,1,1,16,30,61,4,4,0,0,U1,9,1,1,4,18,0
3,2,3,1,1,17,22,20,4,4,0,0,U1,4,1,1,5,18,0
1,2,4,1,1,18,19,43,4,4,0,0,U1,9,0,1,4,18,0
1,2,3,2,2,16,18,50,4,4,0,0,U1,9,1,1,49,18,0
1,2,4,2,1,17,24,60,4,4,0,0,U1,4,1,1,5,18,0
3,1,1,1,1,16,21,25,4,4,0,0,U2,4,1,1,5,18,0
3,1,1,1,1,13,31,29,4,4,0,0,U2,9,4,1,7,18,1
5,2,1,1,2,11,41,18,4,4,0,0,U1,9,4,1,4,18,1
5,2,1,1,2,16,23,41,4,4,0,0,U1,9,1,1,7,18,0
1,2,1,2,2,16,17,28,4,4,0,0,U1,9,1,1,4,18,0
1,2,1,2,1,17,56,23,4,4,0,0,U5,9,1,1,50,18,0
1,2,1,1,1,17,53,69,4,4,0,0,U1,1,0,1,11,18,1
1,2,4,1,1,19,0,81,0,0,0,0,U1,9,0,1,7,18,0
4,1,1,1,2,10,27,59,4,4,0,0,U1,9,1,1,7,18,0
4,1,1,1,1,11,65,22,4,4,0,0,U1,9,1,0,7,18,0
1,1,1,0,10,13,47,60,0,4,0,0,U1,8,0,0,17,18,2
6,2,1,1,1,16,34,27,4,4,0,0,U1,1,1,1,6,17,0
3,1,1,1,0,15,57,30,4,0,0,0,U2,8,1,0,17,17,1
1,1,4,1,1,17,35,28,4,4,0,0,U1,9,2,1,17,18,1
4,1,4,2,1,18,0,63,0,4,0,0,U1,9,0,1,17,18,0
3,1,1,1,2,14,71,73,4,4,0,0,U1,1,1,1,5,18,0
3,2,3,2,1,16,39,57,4,4,0,0,U1,4,0,4,5,18,0
1,1,3,2,10,16,59,54,4,4,0,0,U1,4,0,1,5,18,1
4,2,1,1,2,13,24,21,4,4,0,0,U1,9,1,1,49,18,0
2,1,1,2,2,16,38,69,4,4,0,0,U2,9,1,1,7,18,0
1,1,1,1,2,8,22,57,4,4,0,0,U1,9,1,1,7,18,0
1,2,1,2,2,12,39,47,0,4,0,0,U1,4,1,0,5,18,0
5,2,1,2,2,12,82,26,4,4,0,0,U1,11,1,0,17,17,0
4,2,1,2,2,15,65,32,4,4,0,0,U1,11,1,0,5,18,0
1,1,1,2,1,11,67,51,4,4,0,0,U1,1,0,1,5,18,0
1,1,1,2,1,10,26,64,4,4,0,0,U1,9,1,0,7,18,0
4,1,1,1,3,8,42,55,4,4,0,0,U1,9,1,1,50,18,0
1,1,1,1,2,7,52,30,4,4,0,0,U1,9,1,0,18,18,1
1,1,1,2,1,15,26,25,4,4,0,0,U1,9,0,1,7,18,0
1,1,1,1,2,9,27,46,4,4,0,0,U1,4,1,1,5,18,0
1,2,4,2,0,6,55,24,0,0,0,0,U1,8,0,0,22,17,1
1,2,1,1,1,17,45,58,4,4,0,0,U2,9,0,0,7,18,0
1,3,1,1,2,11,68,51,4,4,0,0,U1,9,0,1,7,18,0
1,1,1,2,1,18,17,24,4,4,0,0,U1,11,1,1,5,18,0
4,1,1,2,1,9,32,20,4,4,0,0,U1,11,1,1,5,52,1
1,1,1,0,2,12,0,32,0,4,0,0,U1,9,0,0,7,18,0
1,2,1,1,2,17,21,32,4,4,0,0,U1,11,0,1,5,18,0
1,1,3,1,2,19,47,31,4,4,0,0,U1,9,0,1,7,18,0
4,2,1,1,1,17,26,35,4,4,0,0,U1,9,1,1,4,18,1
5,1,4,1,2,22,18,56,4,4,0,0,U1,9,1,1,7,18,0
1,2,4,1,1,21,18,22,4,4,0,0,U1,9,1,1,43,18,1
1,2,4,2,1,19,46,24,4,4,0,0,U5,4,1,0,5,17,0
1,1,4,1,1,1,20,29,0,4,0,0,U1,9,0,1,1,18,0
1,1,1,2,1,16,70,72,4,4,0,0,U1,4,1,0,5,18,1
4,1,1,2,2,17,34,52,4,4,0,0,U1,9,0,1,1,18,1
6,1,1,2,0,16,72,0,4,0,0,0,U1,2,0,0,10,0,0
2,2,1,1,1,8,47,43,4,4,0,0,U1,9,1,1,4,18,0
4,2,1,1,1,8,50,50,4,4,0,0,U1,9,1,1,4,18,0
3,1,1,1,1,14,87,27,4,4,0,0,U1,1,1,1,5,18,0
1,2,4,2,2,17,58,67,4,4,0,0,U1,9,1,1,50,52,1
4,1,1,1,2,15,69,46,4,4,0,0,U2,9,1,1,23,18,0
1,1,4,1,2,18,22,48,4,4,0,0,U1,4,1,1,5,18,0
1,1,1,1,1,15,23,28,0,4,0,0,U1,11,1,1,5,18,0
4,2,1,1,2,11,60,48,4,4,0,0,U1,9,4,1,7,18,0
3,2,1,1,2,14,32,45,4,4,0,0,U1,4,1,1,5,18,1
1,1,1,2,2,16,26,62,4,4,0,0,U1,10,0,1,7,18,0
6,1,1,1,1,16,40,32,4,4,0,0,U1,4,1,1,5,18,0
1,1,1,1,2,12,50,46,4,4,0,0,U1,5,1,1,5,18,0
5,1,1,1,2,12,60,52,4,4,0,0,U1,9,1,0,7,18,0
1,1,1,2,1,14,36,59,4,4,0,0,U1,9,1,2,7,18,0
1,1,1,1,2,14,19,42,4,4,0,0,U1,9,5,1,7,18,0
3,2,1,2,1,16,27,45,4,4,0,0,U1,4,1,1,5,18,0
5,2,1,1,2,11,49,44,4,4,0,0,U1,11,1,0,17,17,0
3,1,1,2,1,9,26,51,4,4,0,0,U1,1,4,1,5,18,1
1,1,1,1,1,15,0,39,0,4,0,0,U1,9,0,1,7,18,1
5,2,1,2,2,8,53,41,4,4,0,0,U1,11,0,0,5,18,0
1,1,1,1,1,12,55,30,4,4,0,0,U1,1,0,1,11,18,2
